,Message,Length
1876,(detected on injection atleast),31
1877,if it works it works,20
1878,i told earlier that i trigger alot of detections,48
1879,and the only way u would know ur injected is if u execute,57
1880,yea im tryna find a way to inject that doesnt have any indicators,65
1881,that i injected,15
1882,when i inject i warn in roblox console,38
1883,or putting things in console,28
1884,like inject without making a notifcation pop up,47
1885,i dont mean undetection,23
1886,mb i worded it wrong,20
1887,same about luna (atleast bytecode change detection),51
1888,probably every single possible,30
1889,of hyperion,11
1890,when i inject i trigger 238242463 detections,44
1891,wdym silent inject,18
1892,does it silent inject,21
1893,a driver,8
1894,does it use,11
1895,but external,12
1896,so its an  executor,19
1897,shitty,6
1898,some external exploit,21
1899,the flip is trhat,17
1900,luna!?,6
1901,source,6
1902,i pasted it from luna,21
1903,with setted caps,16
1904,i have 8 level xeno too,23
1905,so u can just change the level,30
1906,my bad chat,11
1907,ohh rite..,10
1908,uses luau_load,14
1909,noob its internal,17
1910,because solara does,19
1911,utilize existing modulescripts or regular localscripts for execution,68
1912,do u,4
1913,i have question,15
1914,i guess yes,11
1915,bunker so the cia doesn't raid him,34
1916,a server bunk,13
1917,bros got like,13
1918,join this and look in announcement and stuff,44
1919,PROOF,5
1920,WHAT,4
1921,im pro cuz i have 98 unc internal (pasted from ballistic source) with teleport handler,86
1922,proof,5
1923,not noob im pro,15
1924,communist noob,14
1925,ok russian,10
1926,im not chinese noob,19
1927,chinese communist party,23
1928,what ccp means,14
1929,ccp society,11
1930,so like,7
1931,thats basically what happend,28
1932,sus.,4
1933,u dont need to know,19
1934,well good then,14
1935,ngl I dont even know what happened,34
1936,"noob i wanted to have all permissions and no rules so thats why i post shit in my own server now, but since i hated this nigger i raided him before leaving this server",167
1937,(not telling who),17
1938,well i was hating u and my russian people from a group told me that they want to raid so why not,96
1939,but raiding isnt,16
1940,thats respectable,17
1941,ik you got one,14
1942,anyone have an injector ?,25
1943,and for some reason when u execute the source and not loadstring it just errors,79
1944,so laggy and shitty,19
1945,i remember using bluestacks to exploit,38
1946,> native speed,14
1947,did you read what i said,24
1948,in my server u have atleast freedom of speech,45
1949,my life my rules my style my attitude,37
1950,also dont want to follow ur rules,33
1951,i didnt want to be someones slave that gonna be replaced by someone else anyways,80
1952,shut noob,9
1953,addy,4
1954,getscheduler,12
1955,has,3
1956,wh ohere,8
1957,bro i compressed a folder to a .zip and IT MADE IT LARGER THAN THE NORMAL FOLDER,80
1958,You do not have the required permissions to use this command.,61
1959,kid with anger issues lol,25
1960,advertise it,12
1961,can someone like,16
1962,bro i need to get more members in my own server,47
1963,We all know that its will lagging asf,37
1964,vulkan still works to dump roblox?,34
1965,(not all ntdlls some certain),29
1966,it costs money noob just suspend ntdll,38
1967,successfully,12
1968,how to sign my dll,18
1969,sigma,5
1970,fake ntdll 🤑,12
1971,eww android,11
1972,hmm ok noob,11
1973,running on HyprV,16
1974,krnl android,12
1975,is this real krnl,17
1976,krnl android running at native speed in windows,47
1977,methh!!!,8
1978,who here wants replicatesignal,30
1979,free him!,9
1980,sedonet once again,18
1981,whats trl,9
1982,i made.,7
1983,do you guys like my image,25
1984,its so gay,10
1985,yea lol,7
1986,create fake ntdll 🤑,19
1987,im checking if my addresses right then i will try to fix injector,65
1988,about what else u need to do for fixing it idk,46
1989,if u suspend all ntdll threads ur roblox will freeze and unfreeze after some time,81
1990,then what else,14
1991,not only noob,13
1992,working,7
1993,to get ballistic,16
1994,i should suspend,16
1995,what ceratin threads,20
1996,and thats waht im talking about,31
1997,in process hacker there is info about certain thread,52
1998,to suspend,10
1999,so i only have,14
2000,wait,4
2001,explain it to me,16
2002,i dont,6
2003,omg pro,7
2004,well u get it yes,17
2005,i thought about not suspending some certain ntdll threads with state running or something,89
2006,or im blind,11
2007,omg noob ntdll threads only have waitqrquene state,50
2008,tell me which ones,18
2009,my head hurts little bit,24
2010,cuz u spam and ping certain person,34
2011,nuclear retard role,19
2012,why do i still ahve,19
2013,but i dont htink i have,23
2014,works for me too,16
2015,omg noob works for me,21
2016,that makes sense,16
2017,i see,5
2018,after u launched,16
2019,noob not suspend at the launch,30
2020,it would jus generate the roblox hyperion crash dumps,53
2021,i tried that and my roblox didnt launch,39
2022,it does but only if u suspend some ntdll threads,48
2023,it doesnt,9
2024,hey guys does winverifytrust bytes work in 2025 🔥🔥,50
2025,yea,3
2026,i mean it looks okay,20
2027,wot do hailll,13
2028,wth,3
2029,didnt work,10
2030,I sent it in wrong channel,26
2031,AAHAHAHAHAHAH,13
2032,Experiments and then select Discord Visual Refresh,50
2033,What,4
2034,how did you get that discord layout?,36
2035,wrong,5
2036,KYS,3
2037,you just earned yourserlf,25
2038,ur so retarded,14
2039,??????,6
2040,kys bro i actually hope you die,31
2043,50 ROBUX,8
2044,MY,2
2045,ME,2
2046,GIVE,4
2047,read dms ngiga,14
2048,CMON BRO,8
2049,nigga does not want to give me robux,36
2050,that was in vain,16
2051,you will; perish for your ping,30
2052,Yay,3
2053,also thanks for crashing my studio........;;;;;;,48
2054,shegma,6
2055,Receipt,7
2056,Thnx,4
2057,f,1
2058,Fucking annoying,16
2059,Kys bitch,9
2060,Hi are you mad you didnt win  dollars worht of robux,52
2061,stfu and stop pinging bitch,27
2062,Stop pinging asshole dick,25
2063,"yo it means ""hello.""",20
2064,Hangul Jamo,11
2065,#1 retard,9
2066,Nvm chat gpt sucks,18
2067,"print(""Hello World!"")",21
2068,Does it mean code for 200 robux,31
2069,ah fuck,7
2070,"does it mean ""i hate niggers"" ?",31
2071,lol lol lol lol lol lol lol lol lol lol lol lol,47
2072,wtf he is,9
2073,is dyno really offline,22
2074,frfr no 🧢,9
2075,i paste my code,15
2076,now code is mine,16
2077,i stopped skidding as much lol,30
2078,i skid since 2024,17
2079,newbie skid,11
2080,😡,1
2081,nothing can help him he is retarded,35
2082,(hypervisor),12
2083,you will need to access ring -3 and whitelist your pages,56
2084,and you will be able to inejct but not whitelisted,50
2085,make a kernel manual mapper with your own unsigned kernel driver manual mapper,78
2086,how inject,10
2087,russina,7
2088,freaky,6
2089,etmheetod,9
2090,whatsa inject,13
2091,hey gys,7
2092,J,1
2093,W,1
2094,you are special,15
2095,the 1000th member of Hydra,26
2096,teh,3
2097,you are,7
2098,hello,5
2099,yo,2
2100,?membercount,12
2101,is teh 1000th member to join this,33
2102,1k members,10
2103,yo o  you just hit,18
2104,nigga nigga !,13
2105,crashout,8
2106,i only want to do this for money,32
2107,well some people,16
2108,cuz people are retarded,23
2109,thats the reason why i stopped spoonfeeding for free too,56
2110,u got it,8
2111,so they could fix their speech,30
2112,yea i understand that bro but holy shit,39
2113,u cant be talking when ur ass got spoonfed with injector,56
2114,to get attention as always,26
2115,"and ofc u need to screenshot this and send so people can use this for ""haha nigger u corrected urself 1239873213 times!""",120
2116,so people could understand me better,36
2117,im showing how they like to use this word over and over again,61
2118,holy shit bro,13
2119,are you going insane?,21
2120,to you,6
2121,what did i do,13
2122,just isolate urself from society both of u,42
2123,fucking roblox fucking nigga fucking fucking fucking,52
2124,lol lol lol lol,15
2125,so stop trying to get attention from me retard lol,50
2126,i wasn't even talking to u lol,30
2127,go kill urself lol,18
2128,HAHA,4
2129,gpu,3
2130,a nvidia,8
2131,if i don't have,15
2132,what fucking dll do i use,25
2133,[skul~1](,9
2134,or roblox,9
2135,did your fucking computer crash,31
2136,what the fuck is `zmdverifytticontrol` channel,46
2137,I'm on version-0e5e7b03e9304df7,31
2138,Did roblox just update?,23
2139,dfn,3
2140,u cant be talking lol,21
2141,make your own lol,17
2142,dear fuck nigga....,19
2143,give us better method,21
2144,then why u gave sigthief,24
2145,it isnt my method....,21
2146,this proved nothing,19
2147,but ur method is still shit,27
2148,making sense rn,15
2149,no im 14,8
2150,are you 12,10
2151,go kill urself retarded stinky nigger,37
2152,then ur method is shit,22
2153,liar,4
2154,you use a rope and tie to ceiling fan,37
2155,for ur method to work,21
2156,how then,8
2157,ok noob so u also need to verify?,33
2158,"noob , dont know how to verify cert",35
2159,wont work,9
2160,ur shit,7
2161,dont join back,14
2162,good,4
2163,i crashed,9
2164,im signing it correctly noob,28
2165,py  -i  -t  -o,14
2166,just dont use sigthief at this point,36
2167,you are going to crash because you are retarded,47
2168,ok noob if i crash after using signature of  then u are retarded and should kill urself,87
2169,you troll,9
2170,noob i no has,13
2171,no noob u need to show source code,34
2172,for swhx,8
2173,u can see the callback,22
2174,in,2
2175,ok noob show proof,18
2176,all the same ting,17
2177,seliware use setwindowhookex,28
2178,sirhurt use setwindowhookex,27
2179,u know their injection method,29
2180,Seliware and sirhurt used,25
2181,too,3
2182,and now u are ignoring the fact i used some of nvidia dlls,58
2183,"just leave the method dead , lol",32
2184,u said that im must be retarded and sended no brain emoji stinky nigger,71
2185,"it is not mine , plus it's just for getting signature, you want to buy one and use signtool?",92
2186,u gave,6
2187,so u have nothing to say about ur sigthief,42
2188,you is think that work? lol,27
2189,Or... IAT hook and point to shellcode.. not just blatant shellcode,66
2190,fix ur grammar,14
2191,U is needing sigthief lol....,29
2192,im mr shuffle noob,18
2193,Can u find whitelist RVA?,25
2194,mr.,3
2195,dont type,9
2196,shut up,7
2197,isolate urself from society,27
2198,without it being valid,22
2199,sig**thief**,12
2200,"its not faked , it's stolen lol",31
2201,because the signature is not valid,34
2202,nothing can help,16
2203,even ur nvidia dll wont help,28
2204,you were trying to use,22
2205,and no brain emoji,18
2206,U said that im must be retarded just because the shit u gave not working for me,79
2207,"i dont own sigthief , lol",25
2208,amazing,7
2209,ballistic module,16
2210,ur signthief signs without validity,35
2211,well nigga,10
2212,it check if valid too,21
2213,first i need u to prove that it only checks for a sig,53
2214,why would you purchase a sig for like 300$ for roblox,53
2215,"buy a legit signature , what?",29
2216,(even shellcode can sometimes crash roblox),43
2217,i tried shellcode but it fucks my brain alot,44
2218,or buy a legit signature,24
2219,i think that to inject we need to stop riding winverifytrust and actually use shellcode,87
2220,so,2
2221,i tried to use a method that makes all sigs verified and roblox doesnt open it jus crashes then,95
2222,yes noob,8
2223,it does,7
2224,^,1
2225,maybe it also checks if the sig is valid?,41
2226,"""it checks if it has a sig""",27
2227,prove it,8
2228,"if u cant do it , just give up",30
2229,"It is real , its just not valid but hyperion checks if it has a sig",67
2230,and look this nigga wont even respond,37
2231,"u also tried to make me feel  (i hope it means something similar to shame) disgraced by sending no brain emoji while saying ""what are u doing""",142
2232,microsoft gives signtool for a reason,37
2233,sigthief is dogshit,19
2234,not knowing how to sign...,26
2235,i guess it only would work if the signature is valid and not fake,65
2236,i crash,7
2237,but it still didnt work nigga,29
2238,cuz it has signature of nvidia corporation,42
2239,is some dll from nvidia right,29
2240,"i cannot tell if u is sarcastic , or u genuinely tried to use",61
2241,dont use  use an nvidia dll,27
2242,nigga wdym by patching,22
2243,what are you doing,18
2244,so patch it,11
2245,and is being used by roblox,27
2246,it has signature of microsoft,29
2247,nobrain,7
2248,why are you using,17
2249,then you is must be retarded,28
2250,i used this shit to sign my ballistic dll by using signature of  (from system32) and roblox still crashed,105
2251,are u noob,10
2252,thank u,7
2253,wtf you mean tomorrow,21
2254,niger what,10
2255,kk,2
2256,python  -arg1 -arg2 etc,23
2257,sorry for bothering you so much,31
2258,oh ok,5
2259,"dude , u just sign ur dll using the .py file and then make ur injector in C",75
2260,how the fuck do I use python with C,35
2261,thanks :),9
2262,okie dokie,10
2263,"it on the github , under usage",30
2264,whateber,8
2265,or,2
2266,sign,4
2267,on how to use,13
2268,is there a tutorial,19
2269,you just sign ur dll with correct arguments and then setwindowshookex to inject ur dll,86
2270,yes lol,7
2271,"we all start somewhere, no?",27
2272,like 2 days ago,15
2273,I legit just started C,22
2274,now I need to figure out how to use this,40
2275,maybe,5
2276,uses,4
2277,seliware,8
2278,seliwafe,8
2279,isn't that the one,18
2280,you can try nvapi64,19
2281,any dll that has a valid cert,29
2282,do I steal signature from,25
2283,what fucking dll,16
2284,mashallah,9
2285,I can just skid this and I have a working injector?,51
2286,yes u can do swhx in C but i recommend  for the certification as making ur own will seem pretty hard,100
2287,swhx,4
2288,"which method, mmap or swhx?",27
2289,c,1
2290,which one,9
2291,uhr would that be possible in c,31
2292,"i suggesting manual map but if you want to do the easy way than you can just sign ur dll without using wvt , prob sigthief and then setwindowshookex",148
2293,so what's another way to inject,31
2294,since like 3 week ago... im not sureing if they mapped it with some flag like SEC_NO_CHANGE but changing the page protection so you can do writing on it wont work anymore.,171
2295,since when was it patched 😔,27
2296,you cant... if you write to wintrust page you will see that nothing happens,75
2297,you can I'm pretty sure,23
2298,"The bytes wont matter , as you cannot write to wintrust page any more",69
2299,pass them to me too baby,24
2300,send me working bytes for wintrust,34
2301,then winverifytrust,19
2302,noob tell david bazuki to sign ur dll,37
2303,by name,7
2304,guys whats the latest way to inject dll?,40
2305,dms,3
2306,didnt take a ss,15
2307,dawg this is literally reaching,31
2308,nahhh bro dassss funnyy,23
2309,answer,6
2310,show,4
2311,or a fucking random that prob knows me,38
2312,if it was you,13
2313,so now i just wnana know,24
2314,with the joke,13
2315,i decided to play along,23
2316,erm,3
2317,and,3
2318,nigga was jerking off,21
2319,a dog,5
2320,avatar is like,14
2321,abstract,8
2322,some guy named,14
2323,why do u want,13
2324,ROBLOX,6
2325,IN,2
2326,USER,4
2327,YOUR,4
2328,WHATS,5
2329,"(to those who are sensitive, im clearly joking)",47
2330,frfr,4
2331,child content,13
2332,5000 megabyte of,16
2333,"cus if there's no rules, who would stop me from sending...",58
2334,can you delete all threads in <#1277822233548689538> and add actual rules,73
2335,!,1
2336,its still self promoting,24
2337,Well its gone anyway it literally doesnt matter,47
2338,self promoting,14
2339,you,3
2340,ere,3
2341,i'd kms if i w,14
2342,Oh,2
2343,What is this,12
2344,Rate my code\n\n✅,17
2345,how did u get a pic of me,25
2346,wtf,3
2347,emoji_5,7
2348,wow who expected it,19
2349,pls!!!!!!!!!!!11111111111,25
2350,plss!!!!,8
2351,thank you for trying to help though i appreciate it,51
2352,already,7
2353,i actually fixed it,19
2354,I'll pay big money,18
2355,tell me,7
2356,please,6
2357,tell em bro,11
2358,chat chat chat chat i found a kid pasting xeno and literally selling it😭 he also has another server which is only him and his friends so letsz raid it frfr http s://di scord. g g/vVh5kF4d,187
2359,by telling david bazuki to sign ur dll,38
2360,how?,4
2361,without any problems,20
2362,there are ways to make it work again,36
2363,but im sigma gamer,18
2364,sry ping,8
2365,according to,12
2366,even with new bytes it cashse after a 5-7 mins,46
2367,oka,3
2368,free puff,9
2369,quite obviously not patched,27
2370,its patched,11
2371,years ago is not real,21
2372,you're onto nothing,19
2373,yeah i did,10
2374,"upload it to google drive and send it, might be able to help",60
2375,because thats hyperions fault,29
2376,"if not, you should actually send the crash dump to roblox support",65
2377,r u using exploits or anything like that,40
2378,i havent exploited today or anything like that this was my first time getting on and it jus bam didnt work,106
2379,the dump is huge,16
2380,literally cant,14
2381,so whats making me crash,24
2382,me looking at it does nothing,29
2383,i promise u,11
2384,send the dump,13
2385,take a look at the dump created,31
2386,by not crashing,15
2387,thats just the roblox crash handler,35
2388,i think you are bannedf,23
2389,how does that happen,20
2390,thank you,9
2391,omg noob contact roblox support,31
2392,does anyone know how to fix?,28
2393,does anyone have offsets,24
2394,on an external,14
2395,tutos,5
2396,are there any turos,19
2397,uh,2
2398,thumbs_up,9
2399,Instead of skidding,19
2400,Looking for them,16
2401,You just need to spend more than 10 minutes,43
2402,There are plenty,16
2403,guys do I cop??? 🔥 🙏,20
2404,[sad](,6
2405,theres no tutorials even regarding making your own injector,59
2406,i have no fucking idea how to reverse hyperion,46
2407,Reverse hyperion,16
2408,Make ur own,11
2409,Don't skid,10
2410,Ago,3
2411,Half a fucking year,19
2412,5 months ago almost,19
2413,And ballistic itself hasn't been updated since 2024,51
2414,Ballistic injector was patched one month ago,44
2415,you are very slow,17
2416,I don't want the entire motherfucking executor,46
2417,is there just a ballistic injector,34
2418,or is it my printsploit dll,27
2419,is ballistic injector detected,30
2420,online,6
2421,examples,8
2422,is there any working printsploit,32
2423,[patrickdumb](,14
2424,so many hackers here,20
2425,bro im so lost on where to start,32
2426,is there a doc or anything on this,34
2427,whatever,8
2428,and bypass all hooks and stuff,30
2429,you make your dll be signed,27
2430,but baically,12
2431,idk myself,10
2432,plz,3
2433,is,2
2434,pseudosign,10
2435,can you tell em what,20
2436,are you serious,15
2437,i was joking,12
2438,honestly,8
2439,i was legit joking,18
2440,po,2
2441,no 1 will help u,16
2442,im joking,9
2443,now you're toxic,16
2444,??,2
2445,that would be down to help you,30
2446,fuckass,7
2447,thats me,8
2448,you see my pfp,14
2449,sm1,3
2450,I wouldn't expect,17
2451,you bet,7
2452,ur immature mate,16
2453,tutorial,8
2454,in this ndudes tutaoiakl,24
2455,hwod esot it work,17
2456,ccccccxz,8
2457,ffffffff,8
2458,bggggggggggg,12
2459,im mmap with whitelist,22
2460,what else can i do,18
2461,me,2
2462,interesting,11
2463,a not ne,8
2464,..?,3
2465,swhe was patched 12312391293 years ag,37
2466,setwindowhookex was patched years ago,37
2467,I'd try too *,13
2468,are you retarded,16
2469,yea lowkey ill try too *if you'd let me*,40
2470,i beg,5
2471,can someone help me in <#1277822233821188141>,45
2472,c++,3
2473,im doing that 😭,15
2474,look up how to get entrypoint from dll,38
2475,[What](,7
2476,then that's an issue,20
2477,it doesnt work tho,18
2478,i know,6
2479,!!,2
2480,u call it using asm instructions (SHELLLCOODE),46
2481,skid',5
2482,sproute give me ur thing,24
2483,<a:SkullSeizure:1249865782293430322>,36
2484,can someone help me in calling dllmain in my mmap?,50
2485,C stack overflow 🤑,18
2486,also cannot resume coroutine and can't yield inside a c boundary,64
2487,"""Invalid C Closure""",19
2488,my favorite error,17
2489,mmm,3
2490,150k errors,11
2491,roblox is down pls fix it,25
2492,the “trap” is likely the keyword in the message,47
2493,now get back to coding,22
2494,thx,3
2495,it's ok,7
2496,it's ok ❤️,10
2497,i forgor,8
2498,my fault zlawg,14
2499,I thought we already had this simple stuff down.,48
2500,ooooh,5
2501,it's 38 hours and 30 minutes,28
2502,are you stupid?,15
2503,you can fix an error by looking at the wall for 35 hours,56
2504,you cant fix an error if you dont know what it is 😭,51
2505,or know where to get offsets,28
2506,roughly,7
2507,Im not asking if anyone knows exactly what the error is but if they know what to do to fix it,93
2508,The actual error is the trace/bpt is,36
2509,Its just the bash script that injects the exploit,49
2510,10k+ pages,10
2511,so there's like,15
2512,show the god damn line,22
2513,i figured you meant something along these lines,47
2514,thanks,6
2515,yes u need the address of the unordered_set used for chdcking memory,68
2516,"pages as in chunks of memory, usually in sizes of 0x1000 bytes,  4KiB",69
2517,n also this is probably a real dumb question but wdym by pages ?,64
2518,but i’m just trying to learn and thanks for the pointers you already gave,73
2519,that probably is wayyyy offf,28
2521,"by replicating what std::unordered_set::emplace does, but externally",68
2522,u cant whitelist threads,24
2523,or whitelist a thread,21
2524,how would you do this?,22
2525,and i can only work unoffically maybe,37
2526,once i will ask for paycheck or something they will say poshel naxui cuz im only 14 years old,93
2527,me too,6
2528,getting employment,18
2529,like,4
2530,im planning to do it on summer,30
2531,in my life,10
2532,i never got hired,17
2533,who hired bro,13
2534,!\n!,4
2535,thumbsup,8
2536,fix it urself,13
2537,stay useless bro,16
2538,are u joking,12
2539,and fix it,10
2540,at which line it error,22
2541,how about u read ur code,24
2542,thats not a command thats an error message,42
2543,you just send a command,23
2544,do u know what it means,23
2545,even chatgpt wont help u,24
2546,:sob,4
2547,quit skidding,13
2548,means u are noob,16
2549,`./ line 7: 76196 Trace/BPT trap: 5 `,37
2550,any idea what this means,24
2551,createremotethread ahh dll mapper,33
2552,i skidded,9
2553,shouldnt be hard to find a PIC version,38
2554,theres a ton on github,22
2555,my god bro leak sources instead of explaining,45
2556,thats the bare minimum,22
2557,all u gotta implement is imports and relocs,43
2558,sign the dll,12
2559,its fairly simple,17
2560,[ZENgg_joesad](,15
2561,and ive never mmaped before,27
2562,bruh mmap will take me forever,30
2563,that interview was actually quite good,38
2564,nemi my beloved,15
2565,he dont got it !,16
2566,[sds_cough](,12
2567,they dont hook alot,19
2568,hack david bazuki pc and steal hyperion source,46
2569,"but im guessing, if its not backed by a file its unauthorized",61
2570,they have a hook for sure,25
2571,im not sure how roblox decides whter memory is authorized,57
2572,same,4
2573,allat,5
2574,i aint reading,14
2575,ong,3
2577,this sounds like,16
2578,not sure,8
2579,VAT?,4
2580,"yes, if u dont insert it into the VAD (or find some other way for memory querying to skip your pages)",101
2581,"if so, you have to make sure your memory is authorized, if u hook anything",74
2582,(i can use my kernel driver to allocate?),41
2583,do u allocate memory using some sort of NtVirtualMemoryAllocate?,64
2584,sometimes i crash instantly too,31
2585,noob what causes the problem then,33
2586,shellcode crash should happen instantly when running it,55
2587,im just kidding but okay,24
2588,keep acting tough while getting spoonfed🔥,41
2589,"no, if it crashes after a longer period of time thats not from the shellcode",76
2590,after using poolparty,21
2591,so thats why i crash after 1-5 minutes,38
2592,i dont think that will ever happen,34
2593,"otherwise, u COULD crash if it changes permissions in that time",63
2594,if it it works it works,23
2595,well then your shellcode needs to be whitelisted ofc,52
2596,and write there,15
2597,i just allocate some memory,27
2598,im not anymore,14
2599,unless youre using a codecave,29
2600,shellcode has to be whitelisted too,35
2601,shelklcode,10
2602,if you can do it with shelklcode,32
2603,theres no point,15
2604,is it aids?,11
2605,i never gave enough fucks to rewrite unordered_set::emplace to work externally,78
2606,k,1
2607,omg noob sign the dll!,22
2608,:p,2
2609,if u whitelist ur memory before running anything ur good,56
2610,🫡,1
2611,"then youre in the clear, forget everything i said!",50
2612,oh??,4
2613,thats what im doing,19
2614,you can do that externally,26
2615,yup,3
2616,correct?,8
2617,you whitelist memory using insert_set,37
2618,💯,1
2619,just tell user to run again,27
2620,or just not giving a fuck about the edge case,45
2621,i recommend either whitelisting ur pages externally before running anything internally,86
2622,so anything u do will crash,27
2623,the shellcode your executing is also gonna change,49
2624,okay i can impliment a check to see the protection and change it back?,70
2625,its an edge case,16
2626,"it could, but that half a second was an arbitary length",55
2627,and youre gonna get an access violation,39
2628,because then your pages arent whitelisted yet,45
2629,does a manual mapper take that long?,36
2630,and question,12
2631,"if u allocate it lets say half a second before the check is ran, youre fucked",77
2632,threads to unknown memory dont start,36
2633,to,2
2634,dont want,9
2635,de4dot,6
2636,and no,6
2637,1 robux am onth,15
2638,if you’re gonna work i expect real money not robux 😭,52
2639,I'd kill for that position..,28
2640,I heard he pays a robux monthly,31
2641,"you're pretty smart, you should work for",40
2642,crt is detected error code 5 is 0x000005 which means access denied,66
2643,pages,5
2644,hes whitelisting,16
2645,wait what does that do,22
2646,I'm joking 😭,12
2647,I wouldn't learn from sproute,29
2648,I'm jk,6
2649,Now teach,9
2650,(sry ping i forget your name 😭),31
2651,big thanks to,13
2652,i can NOT believe i did it,26
2653,i finally did it,16
2654,SNAGE,5
2655,IT DOESNT CHANGE,16
2656,IT WORKS,8
2657,LEST GOO,8
2658,it still is,11
2659,it was read only before i changed,33
2660,waiting to see if my protection changes,39
2661,i wont make video,17
2662,ok ill just test,16
2663,ok now it works,15
2664,now that i recored it doesnt work,33
2665,let me make a video,19
2666,wait wait,9
2667,wait 10 seconds,15
2668,it doesnt change,16
2669,"if the protection doesn't change, you whitelisted your page",59
2670,and then?,9
2671,"right click, change the protection to read write execute",56
2672,how do i check the permissions,30
2673,how do i check lol;,19
2674,i have to see that?,19
2675,this right?,11
2676,let me check,12
2677,no shit,7
2678,"if you whitelisted your page, it stays whitelisted forever, but if you're just *not crashing*, then your page loses executable permissions after 15 seconds",155
2679,let me show the thing i made in video,37
2680,just whitelist your pages,25
2681,then?,5
2682,that's not the issue,20
2683,my manual mapper wont take 15 seconds,37
2684,you can allocate an RWX page for 15 seconds before hyperion removes the executable permission,93
2685,in cheat engine? (check?),25
2686,"but did you check the page protection after, say, 15 seconds",60
2687,i cant believe i did it,23
2688,i didnt crash,13
2689,for ever,8
2690,for how long,12
2691,I WHITELISTED MY PAGE,21
2692,I DID IIT,9
2693,I ACTUALLY DID IT,17
2694,I DID IT,8
2695,it adds the page just crashes,29
2696,come on mann,12
2697,WHATS LEFT NOW IS TO FIX CRASHING,33
2698,YES,3
2699,!!!,3
2700,YUES,4
2701,like you did ealier,19
2702,can you give me an example call of std::insert,46
2703,you black,9
2704,you never helped,16
2705,"am assuming you using this on Roblox, you are using CreateRemoteThread , Roblox hooking LdrInitializeThunk to stop your thread from running , you would have to whitelist your thread",181
2707,obviously some kinda mem protection but what ways are there to circumvent it,76
2708,anyone know why this is,23
2709,Failed to create remote thread Error code: 5,44
2710,you always asked me how to use set insert,41
2711,lil bro,7
2712,ling,4
2713,Right..,7
2714,i whitelist my own,18
2715,i didn't tell you to use codecaves,34
2716,ok this one works,17
2717,how am i supposed to point to a null pointer,44
2718,this is very confusing,22
2719,Which I'm not gonna do,22
2720,It's impossible to help you without spoonfeeding you,52
2721,You have no idea what you're doing,34
2722,:(,2
2723,except you,10
2724,noone helps me to skid,22
2725,wym,3
2726,i guess,7
2727,Happy skidding,14
2728,Same shit,9
2729,Close,5
2730,i use,5
2731,It's a guess,12
2732,is that a qusetion orr?,23
2733,Is what you use,15
2734,whats better to use,19
2735,Let me guess,12
2736,Then he skidded fishy,21
2737,bytecode told me,16
2738,Right,5
2739,You skidded fishy,17
2740,Ohhh,4
2741,i use **the **dll,17
2742,Much more stable,16
2743,You know you can allocate rwx memory,36
2744,i dont allocate it,18
2745,Code cave?,10
2746,That sucks..,12
2747,i still crash,13
2748,That's better,13
2749,:((,3
2750,LIKE THIS?,10
2751,IM DOING T,10
2752,liek this?,10
2753,let me try to setup an example cuz this is like brainfuck,57
2754,they're all pointers to pointers,32
2755,you need to do that for all three arguments,43
2756,yeah okay im just gonna do that 😭,33
2757,"you said for me to allocate memory, then allocate memory then to the first allocated memmory write my second memory and then write that to my shellcode?",152
2758,or whatever,11
2760,rax,3
2761,yes do i mov the value or the address,37
2762,It's not that difficult,23
2763,"Allocate memory to hold the ptr to the page you want to whitelist, write the encrypted page, then write that pointer into your shellcode",136
2764,you write life there,20
2765,"do i then\nmov ..., [...]\nor\nmov ..., ...",43
2766,and write my addresses there?,29
2767,You need to allocate memory in Roblox,37
2768,The issue is the memory addresses you pass are on your stack space,66
2769,That's not your issue,21
2770,It's just std::set::insert,26
2771,howw is set_insert ACTUALLY used,32
2772,answer this and dont help no more,33
2773,sku,3
2774,of insert,9
2775,whats the actual call,21
2776,ive never done somethin similar thats why i want help,53
2777,:/,2
2778,"if you want a whole DLL whitelisted, you need every page it resides in whitelited",81
2779,sproute is trying to whitelist memory pages,43
2780,is the whitelist for DLLs or general memory like at an address that you write to or is it something else?,105
2781,You're retarded,15
2782,i cant understand what im doing wrong,37
2783,ima learn soon lol,18
2784,u jus left it?,14
2785,LOL!!!!!!!,10
2786,so now half of my thoughts comes out of my bootyhole,52
2787,i spoofed my bootyhole into acting like my brain,48
2788,moon u still work on ur executor thing,38
2789,im guessing ida,15
2790,u use binja or ida primarily,28
2791,why you spoofing people,23
2792,i think  tried to do that,25
2793,or sth,6
2794,make your dll be signed as,26
2795,"Rip an old leaked cert, sign ur DLL with it using a fake sign tool",66
2796,im reversing dawg,17
2797,wadfak a yu talkin about mAn,28
2798,bomboclat,9
2799,"what i am seeing, its whitelisting the base address",51
2800,okay so in my pseudocode,24
2801,i think i understanding,23
2802,ah,2
2803,Doesn't need to,15
2804,"to be tho, rdi_1 seems to have a value, not be 0",48
2805,intresting,10
2806,It's there for pointer arithmetic,33
2807,what the heck is char pointer doing there,41
2808,that stuff doesnt make sense,28
2809,Go read binja pseudocode,24
2810,yes what,8
2811,"Ok, don't trust anything I say",30
2812,a void pointer,14
2813,Read the binja pseudocode,25
2814,It's a pointer,14
2815,what is your pseudocode saiying bruh,36
2816,Pseudosign your dll,19
